,Facility ID,Facility Name,Hospital overall rating
93,014014,BAYPOINTE BEHAVIORAL HEALTH,-1
94,014015,BEACON CHILDREN'S HOSPITAL,-1
95,014016,"SANCTUARY AT THE WOODLANDS, THE",-1
96,014017,EASTPOINTE HOSPITAL,-1
97,014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,-1
98,020001,PROVIDENCE ALASKA MEDICAL CENTER,2
99,020006,MAT-SU REGIONAL MEDICAL CENTER,3
100,020008,BARTLETT REGIONAL HOSPITAL,4
101,020012,FAIRBANKS MEMORIAL HOSPITAL,3
102,020017,ALASKA REGIONAL HOSPITAL,4
103,020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,-1
104,020024,CENTRAL PENINSULA GENERAL HOSPITAL,2
105,020026,ALASKA NATIVE MEDICAL CENTER,2
106,02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),-1
107,02014F,Bassett ACH (FT Wainwright),-1
108,021301,PROVIDENCE VALDEZ MEDICAL CENTER,-1
109,021302,PROVIDENCE SEWARD HOSPITAL,-1
110,021304,PETERSBURG MEDICAL CENTER,-1
111,021305,SEARHC WRANGELL MEDICAL CENTER-CAH,-1
112,021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,-1
113,021307,CORDOVA COMMUNITY MEDICAL CENTER,-1
114,021308,NORTON SOUND REGIONAL HOSPITAL,-1
115,021309,BRISTOL BAY AREA HEALTH CORPORATION,-1
116,021310,MANIILAQ HEALTH CENTER,-1
117,021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,-1
118,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,-1
119,021313,SOUTH PENINSULA HOSPITAL,-1
120,021314,MT EDGECUMBE HOSPITAL,-1
121,024001,NORTH STAR HOSPITAL,-1
122,024002,ALASKA PSYCHIATRIC INSTITUTE,-1
123,030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,3
124,030006,TUCSON MEDICAL CENTER,3
125,030007,VERDE VALLEY MEDICAL CENTER,4
126,030010,ST. MARY'S HOSPITAL,2
127,030011,ST JOSEPH'S HOSPITAL,3
128,030012,YAVAPAI REGIONAL MEDICAL CENTER,3
129,030013,YUMA REGIONAL MEDICAL CENTER,2
130,030014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,3
131,030016,BANNER CASA GRANDE MEDICAL CENTER,3
132,030022,VALLEYWISE HEALTH MEDICAL CENTER,2
133,030023,FLAGSTAFF MEDICAL CENTER,3
134,030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,4
135,030030,ABRAZO CENTRAL CAMPUS,2
136,030036,CHANDLER REGIONAL MEDICAL CENTER,2
137,030037,ST LUKE'S MEDICAL CENTER,3
138,030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,2
139,030043,CANYON VISTA MEDICAL CENTER,4
140,030055,KINGMAN REGIONAL MEDICAL CENTER,3
141,030061,BANNER BOSWELL MEDICAL CENTER,2
142,030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,5
143,030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,2
144,030065,BANNER DESERT MEDICAL CENTER,2
145,030069,HAVASU REGIONAL MEDICAL CENTER,3
146,030071,FORT DEFIANCE INDIAN HOSPITAL,2
147,030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,2
148,030074,SELLS HOSPITAL,-1
149,030077,SAN CARLOS APACHE HEALTHCARE CORP,-1
150,030078,PHOENIX INDIAN MEDICAL CENTER,-1
151,030083,ABRAZO SCOTTSDALE CAMPUS,2
152,030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,-1
153,030085,NORTHWEST MEDICAL CENTER,3
154,030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,3
155,030088,BANNER BAYWOOD MEDICAL CENTER,3
156,030089,BANNER THUNDERBIRD MEDICAL CENTER,2
157,030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,3
158,030093,BANNER DEL E. WEBB MEDICAL CENTER,4
159,030094,ABRAZO ARROWHEAD HOSPITAL,3
160,030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2
161,030103,MAYO CLINIC HOSPITAL,5
162,030105,BANNER HEART HOSPITAL,5
163,030107,ARIZONA SPINE AND JOINT HOSPITAL,-1
164,030108,THE CORE INSTITUTE SPECIALTY HOSP,-1
165,030110,ABRAZO WEST CAMPUS,3
166,030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,4
167,030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,-1
168,030113,WHITERIVER PHS INDIAN HOSPITAL,-1
169,030114,ORO VALLEY HOSPITAL,4
170,030115,BANNER ESTRELLA MEDICAL CENTER,3
171,030117,VALLEY VIEW MEDICAL CENTER,2
172,030119,MERCY GILBERT MEDICAL CENTER,4
173,030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",2
174,030122,BANNER GATEWAY MEDICAL CENTER,4
175,030123,HONOR HEALTH THOMPSON PEAK MEDICAL CENTER,5
176,030130,BANNER IRONWOOD MEDICAL CENTER,4
177,030131,O.A.S.I.S. HOSPITAL,-1
178,030134,BANNER GOLDFIELD MEDICAL CENTER,5
179,030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,-1
180,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,2
181,030138,WESTERN REGIONAL MEDICAL CENTER,2
182,030139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,-1
183,030146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,-1
184,030147,BANNER OCOTILLO MEDICAL CENTER,-1
185,030148,NORTHWEST MEDICAL CENTER SAHUARITA,-1
186,031300,WICKENBURG COMMUNITY HOSPITAL,-1
187,031301,BENSON HOSPITAL,-1
188,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",-1
189,031304,PAGE HOSPITAL,-1
190,031305,HOPI HEALTH CARE CENTER,-1
191,031307,PARKER INDIAN HEALTH CENTER,-1
192,031308,HUHU KAM MEMORIAL HOSPITAL,-1
193,031309,SAGE MEMORIAL HOSPITAL,-1
194,031311,LITTLE COLORADO MEDICAL CENTER,-1
195,031312,COPPER QUEEN COMMUNITY HOSPITAL,-1
196,031313,HOLY CROSS HOSPITAL,-1
197,031314,COBRE VALLEY REGIONAL MEDICAL CENTER,2
198,031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,-1
199,031317,LA PAZ REGIONAL HOSPITAL,2
200,031318,BANNER PAYSON MEDICAL CENTER,3
201,031319,MT. GRAHAM REGIONAL MEDICAL CENTER,-1
202,033302,PHOENIX CHILDREN'S HOSPITAL,-1
203,034004,BANNER BEHAVIORAL HEALTH HOSPITAL,-1
204,034013,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",-1
205,034020,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,-1
206,034021,ARIZONA STATE HOSPITAL,-1
207,034022,SONORA BEHAVIORAL HEALTH HOSPITAL,-1
208,034023,"GUIDANCE CENTER, THE",-1
209,034024,AURORA BEHAVIORAL HEALTH SYSTEM,-1
210,034025,WINDHAVEN PSYCHIATRIC HOSPITAL,-1
211,034026,VALLEY HOSPITAL,-1
212,034027,CHANGEPOINT PSYCHIATRIC HOSPITAL,-1
213,034028,AURORA BEHAVIORAL HEALTHCARE-TEMPE,-1
214,034029,OASIS BEHAVIORAL HEALTH HOSPITAL,-1
215,034030,PALO VERDE BEHAVIORAL HEALTH,-1
216,034031,QUAIL RUN BEHAVIORAL HEALTH,-1
217,034032,COPPER SPRINGS EAST- GILBERT,-1
218,034033,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,-1
219,034034,DESTINY SPRINGS HEALTHCARE,-1
220,034035,AVENIR BEHAVIORAL HEALTH CENTER,-1
221,034036,"MEDICAL BEHAVIORAL HOSPITAL OF NORTHERN ARIZONA, L",-1
222,034038,"PHOENIX MEDICAL PSYCHIATRIC HOSPITAL, LLC",-1
223,040001,SILOAM SPRINGS REGIONAL HOSPITAL,4
224,040002,JOHNSON REGIONAL MEDICAL CENTER,2
225,040004,WASHINGTON REGIONAL MEDICAL CENTER,3
226,040007,CHI-ST VINCENT INFIRMARY,2
227,040010,MERCY HOSPITAL NORTHWEST ARKANSAS,5
228,040011,CHAMBERS MEMORIAL HOSPITAL,4
229,040014,WHITE COUNTY MEDICAL CENTER,2
230,040015,MENA REGIONAL HEALTH SYSTEM,2
231,040016,UAMS MEDICAL CENTER,2
232,040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,3
233,040018,BAPTIST HEALTH - VAN BUREN,-1
234,040019,FORREST CITY MEDICAL CENTER,2
235,040020,ST BERNARDS MEDICAL CENTER,2
236,040022,NORTHWEST MEDICAL CENTER-SPRINGDALE,3
237,040026,ST VINCENT HOT SPRINGS,4
238,040027,BAXTER REGIONAL MEDICAL CENTER,3
239,040029,CONWAY REGIONAL HEALTH SYSTEM,2
240,040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,1
241,040039,ARKANSAS METHODIST MEDICAL CENTER,1
242,040041,ST MARYS REGIONAL MEDICAL CENTER,3
243,040047,FIVE RIVERS MEDICAL CENTER,2
244,040050,OUACHITA COUNTY MEDICAL CENTER,3
245,040051,DREW MEMORIAL HEALTH SYSTEM,3
246,040055,BAPTIST HEALTH - FORT SMITH,1
247,040062,MERCY HOSPITAL FORT SMITH,3
248,040067,MAGNOLIA HOSPITAL,2
249,040069,GREAT RIVER MEDICAL CENTER,2
250,040071,JEFFERSON REGIONAL MEDICAL CENTER,1
251,040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,4
252,040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,4
253,040078,NATIONAL PARK MEDICAL CENTER,1
254,040084,SALINE MEMORIAL HOSPITAL,3
255,040085,HELENA REGIONAL MEDICAL CENTER,4
256,040088,MEDICAL CENTER OF SOUTH ARKANSAS,4
257,040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,1
258,040118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",3
259,040119,WHITE RIVER MEDICAL CENTER,3
260,040132,LEVI HOSPITAL,-1
261,040134,"ARKANSAS HEART HOSPITAL, LLC",4
262,040137,ST VINCENT MEDICAL CENTER/NORTH,4
263,040147,ARKANSAS SURGICAL HOSPITAL,-1
264,040152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,-1
265,040153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,4
266,040154,BAPTIST HEALTH MEDICAL CENTER- CONWAY,4
267,040156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",-1
268,040161,ARKANSAS HEART HOSPITAL-ENCORE,-1
269,041300,MERCY HOSPITAL PARIS,-1
270,041302,DARDANELLE HOSPITAL,-1
271,041303,MERCY HOSPITAL OZARK,-1
272,041304,EUREKA SPRINGS HOSPITAL COMMISSION,-1
273,041305,MERCY HOSPITAL WALDRON,-1
274,041306,"IZARD COUNTY MEDICAL CENTER, LLC",-1
275,041307,CROSSRIDGE COMMUNITY HOSPITAL,3
276,041308,MCGEHEE HOSPITAL,-1
277,041309,LAWRENCE MEMORIAL HOSPITAL,-1
278,041310,STONE COUNTY MEDICAL CENTER,5
279,041311,HOWARD MEMORIAL HOSPITAL,4
280,041312,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,4
281,041313,OZARK HEALTH,-1
282,041314,"DEWITT HOSPITAL & NURSING HOME, INC",-1
283,041316,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,-1
284,041317,DALLAS COUNTY MEDICAL CENTER,-1
285,041318,MERCY HOSPITAL BOONEVILLE,-1
286,041320,LITTLE RIVER MEMORIAL HOSPITAL,-1
287,041321,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,2
288,041322,FULTON COUNTY HOSPITAL,-1
289,041323,ASHLEY COUNTY MEDICAL CENTER,-1
290,041324,CHI ST VINCENT MORRILTON,4
291,041326,DELTA MEMORIAL HOSPITAL,-1
292,041327,BRADLEY COUNTY MEDICAL CENTER,4
293,041328,CHICOT MEMORIAL MEDICAL CENTER,4
294,041329,MERCY HOSPITAL BERRYVILLE,-1
295,041330,PIGGOTT COMMUNITY HOSPITAL,-1
296,041331,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,-1
297,043300,ARKANSAS CHILDRENS HOSPITAL,-1
298,043301,"ARKANSAS CHILDREN'S NORTHWEST, INC",-1
299,044004,VISTA HEALTH FAYETTEVILLE,-1
300,044005,BRIDGEWAY HOSPITAL,-1
301,044006,VALLEY BEHAVIORAL HEALTH SYSTEM,-1
302,044007,RIVENDELL BEHAVIORAL HEALTH SERVICES,-1
303,044011,ARKANSAS STATE HOSPITAL,-1
304,044017,UNITED METHODIST BEHAVIORAL HOSPITAL,-1
305,044019,SPRINGWOODS BEHAVIORAL HEALTH SERVICES,-1
306,044020,RIVERVIEW BEHAVIORAL HEALTH,-1
307,044021,PERIMETER BEHAVIORAL HOSPITAL OF WEST MEMPHIS,-1
308,044022,CONWAY BEHAVIORAL HEALTH,-1
309,050002,ST ROSE HOSPITAL,2
310,050006,PROVIDENCE ST JOSEPH HOSPITAL,3
311,050007,PENINSULA MEDICAL CENTER,5
312,050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,2
313,050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,3
314,050013,ADVENTIST HEALTH ST HELENA,5
315,050014,SUTTER AMADOR HOSPITAL,5
316,050017,MERCY GENERAL HOSPITAL,4
317,050022,RIVERSIDE COMMUNITY HOSPITAL,3
318,050024,PARADISE VALLEY HOSPITAL,4
319,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,5
320,050026,GROSSMONT HOSPITAL,4
321,050028,MAD RIVER COMMUNITY HOSPITAL,3
322,050030,OROVILLE HOSPITAL,1
323,050036,BAKERSFIELD MEMORIAL HOSPITAL,2
324,050038,SANTA CLARA VALLEY MEDICAL CENTER,2
325,050039,ENLOE MEDICAL CENTER,3
326,050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,2
327,050042,ST ELIZABETH COMMUNITY HOSPITAL,4
328,050043,ALTA BATES SUMMIT MEDICAL CENTER,4
329,050045,EL CENTRO REGIONAL MEDICAL CENTER,1
330,050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,3
331,050054,SAN GORGONIO MEMORIAL HOSPITAL,2
332,050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,3
333,050056,ANTELOPE VALLEY HOSPITAL,1
334,050057,KAWEAH HEALTH MEDICAL CENTER,3
335,050058,GLENDALE MEM HOSPITAL & HLTH CENTER,5
336,050060,COMMUNITY REGIONAL MEDICAL CENTER,1
337,050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2
338,050067,OAK VALLEY HOSPITAL DISTRICT,3
339,050069,PROVIDENCE ST. JOSEPH HOSPITAL,4
340,050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,-1
341,050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,3
342,050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,2
343,050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,5
344,050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,2
345,050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,3
346,050077,SCRIPPS MERCY HOSPITAL,3
347,050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,3
348,050082,ST JOHNS REGIONAL MEDICAL CENTER,3
349,050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,2
350,050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,4
351,050090,SONOMA VALLEY HOSPITAL,3
352,050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2
353,050093,SAINT AGNES MEDICAL CENTER,2
354,050096,"WEST COVINA MEDICAL CENTER, INC",-1
355,050099,SAN ANTONIO REGIONAL HOSPITAL,4
356,050100,SHARP MEMORIAL HOSPITAL,4
357,050101,SUTTER SOLANO MEDICAL CENTER,2
358,050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,1
359,050103,WHITE MEMORIAL MEDICAL CENTER,2
360,050104,SAINT FRANCIS MEDICAL CENTER,2
361,050107,MARIAN REGIONAL MEDICAL CENTER,3
362,050108,"SUTTER MEDICAL CENTER, SACRAMENTO",5
363,050110,LOMPOC VALLEY MEDICAL CENTER,2
364,050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,5
365,050113,SAN MATEO MEDICAL CENTER,2
366,050115,PALOMAR HEALTH DOWNTOWN CAMPUS,3
367,050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,4
368,050118,DOCTORS HOSPITAL OF MANTECA,1
369,050121,ADVENTIST HEALTH HANFORD,2
370,050122,DAMERON HOSPITAL,2
371,050124,USC VERDUGO HILLS HOSPITAL,2
372,050125,REGIONAL MEDICAL CENTER OF SAN JOSE,2
373,050126,VALLEY PRESBYTERIAN HOSPITAL,2
374,050127,WOODLAND MEMORIAL HOSPITAL,2
375,050128,TRI-CITY MEDICAL CENTER,2
376,050129,ST BERNARDINE MEDICAL CENTER,2
377,050131,NOVATO COMMUNITY HOSPITAL,5
378,050132,SAN GABRIEL VALLEY MEDICAL CENTER,4
379,050133,ADVENTIST HEALTH AND RIDEOUT,2
380,050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,3
381,050136,PETALUMA VALLEY HOSPITAL,4
382,050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,-1
383,050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,-1
384,050139,KAISER FOUNDATION HOSPITAL - DOWNEY,-1
385,050140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,-1
386,050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,4
387,050149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,3
388,050150,SIERRA NEVADA MEMORIAL HOSPITAL,4
389,050152,SAINT FRANCIS MEMORIAL HOSPITAL,2
390,050158,ENCINO HOSPITAL MEDICAL CENTER,3
391,050159,VENTURA COUNTY MEDICAL CENTER,2
392,05015F,60th Medical Group (Travis AFB),-1
393,050167,SAN JOAQUIN GENERAL HOSPITAL,1
394,050168,PROVIDENCE ST. JUDE MEDICAL CENTER,4
395,050169,PIH HEALTH HOSPITAL-WHITTIER,4
396,050174,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,4
397,050179,EMANUEL MEDICAL CENTER,2
398,050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,4
399,050191,ST MARY MEDICAL CENTER,2
400,050192,ADVENTIST HEALTH REEDLEY,-1
401,050194,WATSONVILLE COMMUNITY HOSPITAL,1
402,050195,WASHINGTON HOSPITAL,2
403,050197,SEQUOIA HOSPITAL,5
404,050204,PALMDALE REGIONAL MEDICAL CENTER,2
405,05020F,NH Camp Pendleton,-1
406,050211,ALAMEDA HOSPITAL,3
407,050222,SHARP CHULA VISTA MEDICAL CENTER,4
408,050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,5
409,050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,3
410,050228,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,1
411,05022F,NMC San Diego,-1
412,050230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,4
413,050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,3
414,050232,FRENCH HOSPITAL MEDICAL CENTER,4
415,050234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,5
416,050235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,3
417,050236,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,2
418,050238,METHODIST HOSPITAL OF SOUTHERN CA,3
419,050239,GLENDALE ADVENTIST MEDICAL CENTER,5
420,050242,DOMINICAN HOSPITAL,4
421,050243,DESERT REGIONAL MEDICAL CENTER,2
422,050245,ARROWHEAD REGIONAL MEDICAL CENTER,3
423,050248,NATIVIDAD MEDICAL CENTER,4
424,050254,MARSHALL MEDICAL CENTER,4
425,050257,GOOD SAMARITAN HOSPITAL,-1
426,050261,SIERRA VIEW MEDICAL CENTER,2
427,050262,RONALD REAGAN UCLA MEDICAL CENTER,4
428,050272,REDLANDS COMMUNITY HOSPITAL,3
429,050276,CONTRA COSTA REGIONAL MEDICAL CENTER,4
430,050278,PROVIDENCE HOLY CROSS MEDICAL CENTER,4
431,050279,HI-DESERT MEDICAL CENTER,2
432,050280,MERCY MEDICAL CENTER REDDING,1
433,050281,ALHAMBRA HOSPITAL MEDICAL CENTER,5
434,050283,STANFORD HEALTH CARE - VALLEYCARE,4
435,050289,AHMC SETON MEDICAL CENTER,2
436,050290,PROVIDENCE SAINT JOHN'S HEALTH CENTER,4
437,050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,5
438,050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,2
439,050295,MERCY HOSPITAL,4
440,050298,BARSTOW COMMUNITY HOSPITAL,2
441,050300,ST MARY MEDICAL CENTER,2
442,050301,ADVENTIST HEALTH UKIAH VALLEY,4
443,050305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,3
444,050308,EL CAMINO HOSPITAL,5
445,050309,SUTTER ROSEVILLE MEDICAL CENTER,5
446,050313,SUTTER TRACY COMMUNITY HOSPITAL,4
447,050315,KERN MEDICAL CENTER,2
448,050320,HIGHLAND HOSPITAL,1
449,050324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,5
450,050327,LOMA LINDA UNIVERSITY MEDICAL CENTER,3
451,050329,CORONA REGIONAL MEDICAL CENTER,3
452,050334,SALINAS VALLEY MEMORIAL HOSPITAL,3
453,050335,ADVENTIST HEALTH SONORA,3
454,050336,ADVENTIST HEALTH LODI MEMORIAL,3
455,050342,PIONEERS MEMORIAL HEALTHCARE DISTRICT,3
456,050348,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,3
457,050350,BEVERLY HOSPITAL,2
458,050351,TORRANCE MEMORIAL MEDICAL CENTER,3
459,050352,BARTON MEMORIAL HOSPITAL,5
460,050353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4
461,050357,GOLETA VALLEY COTTAGE HOSPITAL,4
