"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date","IPFQR-HCP COVID-19 Measure Description","IPFQR-HCP COVID-19 %","IPFQR-HCP COVID-19 Denominator","IPFQR-HCP COVID-19 Footnote","IPFQR-HCP COVID-19 Start Date","IPFQR-HCP COVID-19 End Date"
054145,SHARP MESA VISTA HOSPITAL,7850 VISTA HILL AVENUE,SAN DIEGO,CA,92123,SAN DIEGO,Hours of physical-restraint use,0.05,43.95,36922,,Hours of seclusion use,0.06,52.23,36922,,Patients discharged on multiple antipsychotic medications with appropriate justification,58.00,59,,Screening for metabolic disorders (SMD),94,359,,Alcohol use brief intervention provided or offered,92,171,,88,171,,Alcohol and other drug use disorder treatment provided or offered at discharge,74,202,,68,202,,Tobacco use treatment provided or offered,88,114,,73,114,,Tobacco use treatment provided or offered at discharge,81,88,,64,88,,Transition record with specified elements received by discharged patients (TR1),87,824,,Timely transmission of transition record (TR2),58,824,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,65,123,,42.3,123,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,78,300,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,743,18.8,16.4,21.3,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),99,412,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),98.8,1840,,10/01/2021,12/31/2021
054146,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,"2633 E 27TH STREET, BUILDING B",OAKLAND,CA,94601,ALAMEDA,Hours of physical-restraint use,0.19,30.92,6904,,Hours of seclusion use,0.13,22.03,6904,,Patients discharged on multiple antipsychotic medications with appropriate justification,0.00,316,,Screening for metabolic disorders (SMD),11,580,,Alcohol use brief intervention provided or offered,99,237,,99,237,,Alcohol and other drug use disorder treatment provided or offered at discharge,12,181,,12,181,,Tobacco use treatment provided or offered,32,28,,32,28,,Tobacco use treatment provided or offered at discharge,0,14,,0,14,,Transition record with specified elements received by discharged patients (TR1),100,1252,,Timely transmission of transition record (TR2),99,1252,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),19,634,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,5,10/01/2021,12/31/2021
054147,JOYCE EISENBERG KEEFER MEDICAL CENTER,7150 TAMPA AVENUE,RESEDA,CA,91335,LOS ANGELES,Hours of physical-restraint use,0.00,0,1224,,Hours of seclusion use,0.00,0,1224,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),98,50,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),100,62,,Timely transmission of transition record (TR2),100,62,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),92,38,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),100,31,,10/01/2021,12/31/2021
054148,TARZANA TREATMENT CENTER,18646 OXNARD STREET,TARZANA,CA,91356,LOS ANGELES,Hours of physical-restraint use,0.00,0,14089,,Hours of seclusion use,0.00,0,14089,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,28,,Screening for metabolic disorders (SMD),0,98,,Alcohol use brief intervention provided or offered,100,2103,,100,2103,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,2103,,100,2103,,Tobacco use treatment provided or offered,100,1763,,5,1763,,Tobacco use treatment provided or offered at discharge,80,1763,,5,1763,,Transition record with specified elements received by discharged patients (TR1),100,2103,,Timely transmission of transition record (TR2),70,2103,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,190,18.7,14.9,23.2,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),1,2001,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),99.1,115,,10/01/2021,12/31/2021
054149,WILLOW ROCK CENTER,2050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578,ALAMEDA,Hours of physical-restraint use,0.11,9.48,3653,,Hours of seclusion use,0.21,17.98,3653,,Patients discharged on multiple antipsychotic medications with appropriate justification,8.00,25,,Screening for metabolic disorders (SMD),36,160,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),100,391,,Timely transmission of transition record (TR2),100,391,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),34,191,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,5,10/01/2021,12/31/2021
054150,KAISER PERMANENTE PSYCHIATRIC HEALTH FACILITY-SANT,3840 HOMESTEAD ROAD,SANTA CLARA,CA,95051,SANTA CLARA,Hours of physical-restraint use,0.24,33.93,5853,,Hours of seclusion use,0.07,10.35,5853,,Patients discharged on multiple antipsychotic medications with appropriate justification,64.00,14,,Screening for metabolic disorders (SMD),97,322,,Alcohol use brief intervention provided or offered,75,56,,75,56,,Alcohol and other drug use disorder treatment provided or offered at discharge,66,158,,51,158,,Tobacco use treatment provided or offered,97,116,,76,116,,Tobacco use treatment provided or offered at discharge,83,99,,33,99,,Transition record with specified elements received by discharged patients (TR1),92,560,,Timely transmission of transition record (TR2),89,560,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),98,261,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),93.2,113,,10/01/2021,12/31/2021
054151,"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",1287 FULTON ROAD,SANTA ROSA,CA,95401,SONOMA,Hours of physical-restraint use,0.06,39.75,28086,,Hours of seclusion use,1.00,674.07,28086,,Patients discharged on multiple antipsychotic medications with appropriate justification,27.00,15,,Screening for metabolic disorders (SMD),64,401,,Alcohol use brief intervention provided or offered,47,62,,31,62,,Alcohol and other drug use disorder treatment provided or offered at discharge,3,213,,1,213,,Tobacco use treatment provided or offered,55,162,,32,162,,Tobacco use treatment provided or offered at discharge,7,156,,1,156,,Transition record with specified elements received by discharged patients (TR1),76,737,,Timely transmission of transition record (TR2),18,737,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43.5,131,,19.8,131,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,77.4,412,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,549,19.2,16.2,22.3,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),77,369,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,5,10/01/2021,12/31/2021
054152,SANTA CRUZ COUNTY PSYCHIATRIC HEALTH FACILITY,"2250 SOQUEL AVENUE, SUITE 150",SANTA CRUZ,CA,95062,SANTA CRUZ,Hours of physical-restraint use,0.06,8.77,5667,,Hours of seclusion use,0.40,55,5667,,Patients discharged on multiple antipsychotic medications with appropriate justification,21.00,48,,Screening for metabolic disorders (SMD),30,199,,Alcohol use brief intervention provided or offered,100,222,,100,222,,Alcohol and other drug use disorder treatment provided or offered at discharge,48,40,,48,40,,Tobacco use treatment provided or offered,85,142,,85,142,,Tobacco use treatment provided or offered at discharge,0,62,,0,62,,Transition record with specified elements received by discharged patients (TR1),98,266,,Timely transmission of transition record (TR2),98,266,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54.5,11,,36.4,11,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,92,21.2,16.1,27.4,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),45,185,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,5,10/01/2021,12/31/2021
054153,OCEAN VIEW PSYCHIATRIC HEALTH FACILITY,"2600 REDONDO AVENUE, SUITE 500",LONG BEACH,CA,90806,LOS ANGELES,Hours of physical-restraint use,0.00,0,5041,,Hours of seclusion use,0.00,0,5041,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,Screening for metabolic disorders (SMD),95,353,,Alcohol use brief intervention provided or offered,100,16,,81,16,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,100,268,,0,268,,Tobacco use treatment provided or offered at discharge,100,51,,0,51,,Transition record with specified elements received by discharged patients (TR1),99,427,,Timely transmission of transition record (TR2),1,427,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,55,20,,40,20,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,70.5,149,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,510,22.5,19.5,25.7,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),97,408,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),92.2,162,,10/01/2021,12/31/2021
054154,SAN JOSE BEHAVIORAL HEALTH,455 SILICON VALLEY BOULEVARD,SAN JOSE,CA,95138,SANTA CLARA,Hours of physical-restraint use,0.02,23,62255,,Hours of seclusion use,0.02,29,62255,,Patients discharged on multiple antipsychotic medications with appropriate justification,6.00,67,,Screening for metabolic disorders (SMD),42,318,,Alcohol use brief intervention provided or offered,50,24,,42,24,,Alcohol and other drug use disorder treatment provided or offered at discharge,34,122,,11,122,,Tobacco use treatment provided or offered,89,47,,4,47,,Tobacco use treatment provided or offered at discharge,38,42,,0,42,,Transition record with specified elements received by discharged patients (TR1),9,472,,Timely transmission of transition record (TR2),8,472,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,33.3,105,,16.2,105,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,69.2,413,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,563,18.6,15.9,21.2,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),36,155,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),94.6,242,,10/01/2021,12/31/2021
054155,"BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL, LLC",5201 WHITE LANE,BAKERSFIELD,CA,93309,KERN,Hours of physical-restraint use,0.09,46.33,20501,,Hours of seclusion use,0.32,157.66,20501,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,43,,Screening for metabolic disorders (SMD),100,387,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),98,732,,Timely transmission of transition record (TR2),59,732,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.1,73,,28.8,73,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,83.3,276,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,356,22.1,18.8,25.9,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),94,357,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),93.6,175,,10/01/2021,12/31/2021
054157,GLENDORA  HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,91740,LOS ANGELES,Hours of physical-restraint use,Not Available,Not Available,Not Available,5,Hours of seclusion use,Not Available,Not Available,Not Available,5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,5,Screening for metabolic disorders (SMD),Not Available,Not Available,5,Alcohol use brief intervention provided or offered,Not Available,Not Available,5,Not Available,Not Available,5,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,5,Not Available,Not Available,5,Tobacco use treatment provided or offered,Not Available,Not Available,5,Not Available,Not Available,5,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,5,Not Available,Not Available,5,Transition record with specified elements received by discharged patients (TR1),Not Available,Not Available,5,Timely transmission of transition record (TR2),Not Available,Not Available,5,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,5,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,5,10/01/2021,12/31/2021
060009,LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,80033,JEFFERSON,Hours of physical-restraint use,0.21,36.54,7262,,Hours of seclusion use,0.97,168.56,7262,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),59,49,,Alcohol use brief intervention provided or offered,93,141,,89,141,,Alcohol and other drug use disorder treatment provided or offered at discharge,64,151,,62,151,,Tobacco use treatment provided or offered,80,146,,59,146,,Tobacco use treatment provided or offered at discharge,21,121,,20,121,,Transition record with specified elements received by discharged patients (TR1),77,294,,Timely transmission of transition record (TR2),46,294,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,61.1,54,,42.6,54,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,66.9,133,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,309,18.9,15.4,23.1,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),52,283,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),96,223,,10/01/2021,12/31/2021
060010,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,FORT COLLINS,CO,80524,LARIMER,Hours of physical-restraint use,0.13,28.37,9382,,Hours of seclusion use,0.58,131.01,9382,,Patients discharged on multiple antipsychotic medications with appropriate justification,92.00,13,,Screening for metabolic disorders (SMD),95,165,,Alcohol use brief intervention provided or offered,97,225,,96,225,,Alcohol and other drug use disorder treatment provided or offered at discharge,94,324,,90,324,,Tobacco use treatment provided or offered,95,243,,7,243,,Tobacco use treatment provided or offered at discharge,85,234,,11,234,,Transition record with specified elements received by discharged patients (TR1),87,635,,Timely transmission of transition record (TR2),74,635,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57.1,42,,31,42,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,76.1,109,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,217,19.5,15.4,24.2,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),95,315,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),97.9,795,,10/01/2021,12/31/2021
060011,DENVER HEALTH & HOSPITAL AUTHORITY,777 BANNOCK ST,DENVER,CO,80204,DENVER,Hours of physical-restraint use,0.58,254.92,18221,,Hours of seclusion use,1.19,518.82,18221,,Patients discharged on multiple antipsychotic medications with appropriate justification,53.00,15,,Screening for metabolic disorders (SMD),86,195,,Alcohol use brief intervention provided or offered,97,94,,86,94,,Alcohol and other drug use disorder treatment provided or offered at discharge,91,245,,74,245,,Tobacco use treatment provided or offered,99,202,,16,202,,Tobacco use treatment provided or offered at discharge,53,193,,27,193,,Transition record with specified elements received by discharged patients (TR1),100,664,,Timely transmission of transition record (TR2),87,664,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42.6,61,,19.7,61,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,79.8,89,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,139,23.1,18.3,28.4,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),100,182,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),96.3,325,,10/01/2021,12/31/2021
060020,"PARKVIEW MEDICAL CENTER, INC",400 W 16TH ST,PUEBLO,CO,81003,PUEBLO,Hours of physical-restraint use,0.52,46.45,3713,,Hours of seclusion use,0.35,30.8,3713,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),91,267,,Alcohol use brief intervention provided or offered,95,64,,50,64,,Alcohol and other drug use disorder treatment provided or offered at discharge,68,199,,67,199,,Tobacco use treatment provided or offered,98,205,,97,205,,Tobacco use treatment provided or offered at discharge,91,176,,66,176,,Transition record with specified elements received by discharged patients (TR1),98,507,,Timely transmission of transition record (TR2),89,507,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,59.1,22,,27.3,22,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,78.7,108,,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,158,20,15.8,25.1,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),82,213,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),89,1256,,10/01/2021,12/31/2021
060027,BOULDER COMMUNITY HEALTH,4747 ARAPAHOE AVE,BOULDER,CO,80303,BOULDER,Hours of physical-restraint use,0.13,10.97,3490,,Hours of seclusion use,1.26,105.37,3490,,Patients discharged on multiple antipsychotic medications with appropriate justification,73.00,15,,Screening for metabolic disorders (SMD),99,95,,Alcohol use brief intervention provided or offered,36,45,,36,45,,Alcohol and other drug use disorder treatment provided or offered at discharge,62,47,,47,47,,Tobacco use treatment provided or offered,4,28,,0,28,,Tobacco use treatment provided or offered at discharge,96,27,,0,27,,Transition record with specified elements received by discharged patients (TR1),0,284,,Timely transmission of transition record (TR2),0,284,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,65,20,,45,20,,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,109,21.2,16.4,26.7,,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),97,277,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),92.7,55,,10/01/2021,12/31/2021
060030,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,LARIMER,Hours of physical-restraint use,0.10,7.52,3000,,Hours of seclusion use,0.83,59.8,3000,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,18,,Screening for metabolic disorders (SMD),89,141,,Alcohol use brief intervention provided or offered,89,18,,89,18,,Alcohol and other drug use disorder treatment provided or offered at discharge,93,14,,93,14,,Tobacco use treatment provided or offered,75,20,,65,20,,Tobacco use treatment provided or offered at discharge,44,18,,44,18,,Transition record with specified elements received by discharged patients (TR1),56,254,,Timely transmission of transition record (TR2),47,254,,01/01/2020,12/31/2020,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2019,12/01/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2018,12/01/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/01/2019,Influenza immunization (IPFQR-IMM-2),94,108,,10/01/2020,03/31/2021,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),92.7,109,,10/01/2021,12/31/2021
