,Facility ID,Facility Name,City,State,ZIP Code,HBIPS-5 %,SMD %,SUB-2 %,SUB-3 %,TOB-2 %,TOB-3 %,TR-2 %,FUH-30 %,FUH-7 %,MedCont %,READM-30-IPF Rate,HBIPS-2 %,HBIPS-3 %,lat,lon
43,24001,NORTH STAR HOSPITAL,ANCHORAGE,AK,99508,74.15,83.0,0.0,99.0,100.0,95.0,73.0,58.02,34.22,76.75,19.51,0.25,0.37,61.205076,-149.823203
44,24002,ALASKA PSYCHIATRIC INSTITUTE,ANCHORAGE,AK,99508,81.0,0.0,0.0,0.0,79.0,0.0,0.0,44.8,27.6,78.76,17.1,0.33,0.94,61.205076,-149.823203
45,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,85006,43.37,88.0,83.0,93.0,73.0,89.0,85.0,56.3,50.0,70.48,18.5,0.17,0.02,33.276539,-112.18717
46,30006,TUCSON MEDICAL CENTER,TUCSON,AZ,85712,0.0,80.0,91.14,57.18,74.87,43.02,62.0,66.7,46.7,79.52,23.3,0.0,0.0,32.253714,-110.883744
47,30010,ST. MARY'S HOSPITAL,TUCSON,AZ,85745,0.0,76.0,77.0,92.0,73.0,68.0,1.0,41.24,19.31,70.79,20.8,0.0,0.0,32.215967,-110.869052
48,30011,ST JOSEPH'S HOSPITAL,TUCSON,AZ,85711,40.32,69.0,74.0,81.0,84.0,87.0,70.0,54.15,30.78,78.95,25.3,0.02,0.0,32.214075,-110.883744
49,30022,VALLEYWISE HEALTH MEDICAL CENTER,PHOENIX,AZ,85008,95.0,98.0,98.0,69.0,96.0,94.0,88.0,61.4,47.4,77.8,14.0,4.18,1.01,33.446797,-111.953512
50,30023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,86001,82.22,97.0,78.0,86.0,45.0,63.0,64.0,53.89,30.55,69.76,19.9,0.0,0.0,35.932116,-111.597853
51,30037,ST LUKE'S MEDICAL CENTER,PHOENIX,AZ,85006,33.61,96.37,83.02,66.05,94.89,85.63,88.7,52.65,29.44,73.87,18.75,0.46,0.35,33.276539,-112.18717
52,30043,CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,85635,47.0,97.0,89.0,99.0,89.0,89.0,74.0,58.3,37.5,77.76,18.1,0.16,0.37,31.810649,-109.997623
53,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,85901,71.02,100.0,87.0,54.0,100.0,52.0,90.0,41.24,19.31,71.85,19.22,0.14,0.0,34.570811,-110.032025
54,30089,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,85306,70.27,89.0,94.0,91.0,55.0,60.0,84.0,50.0,35.7,77.6,23.0,0.43,0.01,33.276539,-112.18717
55,30093,BANNER DEL E. WEBB MEDICAL CENTER,SUN CITY WEST,AZ,85375,66.66,91.0,95.0,88.0,84.0,95.0,79.0,49.1,28.1,78.0,20.7,0.02,0.0,33.276539,-112.18717
56,30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,85713,0.0,83.0,82.37,74.49,73.17,39.4,86.0,52.6,15.8,78.19,21.4,0.01,0.02,32.192676,-110.945048
57,30114,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,85755,20.0,49.0,35.0,57.0,71.0,55.0,2.0,39.1,34.8,79.35,18.9,0.0,0.0,32.44,-110.97
58,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,85209,33.61,93.0,38.0,34.0,77.0,18.0,70.0,55.6,33.3,77.89,16.6,0.04,0.02,33.37,-111.64
59,34004,BANNER BEHAVIORAL HEALTH HOSPITAL,SCOTTSDALE,AZ,85251,100.0,91.0,88.0,86.0,83.0,78.0,76.0,66.1,41.1,73.0,19.2,0.28,0.22,33.420061,-111.792658
60,34013,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",PHOENIX,AZ,85006,69.0,93.0,74.0,93.0,70.0,90.0,62.0,71.1,55.3,72.5,23.0,0.2,0.3,33.276539,-112.18717
61,34020,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,PHOENIX,AZ,85007,53.0,27.0,56.0,61.0,77.0,20.0,10.0,55.9,44.1,73.1,22.1,0.03,0.01,33.276539,-112.18717
62,34021,ARIZONA STATE HOSPITAL,PHOENIX,AZ,85008,100.0,85.0,0.0,0.0,0.0,0.0,0.0,60.24,36.19,73.66,19.51,2.88,1.25,33.446797,-111.953512
63,34022,SONORA BEHAVIORAL HEALTH HOSPITAL,TUCSON,AZ,85704,3.0,13.0,63.0,58.0,68.0,48.0,52.0,46.9,31.3,67.2,19.6,0.21,0.32,32.395222,-111.100062
64,34023,"GUIDANCE CENTER, THE",FLAGSTAFF,AZ,86004,88.67,80.27,100.0,100.0,0.0,0.0,0.0,61.5,46.2,72.82,22.3,0.0,2.6,35.610905,-111.324353
65,34024,AURORA BEHAVIORAL HEALTH SYSTEM,GLENDALE,AZ,85302,31.0,75.0,80.0,69.0,80.0,84.0,82.0,60.0,40.0,66.1,20.2,0.02,0.0,33.276539,-112.18717
66,34025,WINDHAVEN PSYCHIATRIC HOSPITAL,PRESCOTT VALLEY,AZ,86314,56.34,45.0,90.0,100.0,90.0,98.0,61.0,31.8,22.7,74.03,21.6,0.08,0.0,34.627778,-112.262805
67,34026,VALLEY HOSPITAL,PHOENIX,AZ,85018,100.0,100.0,77.0,100.0,98.0,100.0,72.0,66.7,43.9,74.0,22.5,0.01,0.0,33.482033,-111.735322
68,34027,CHANGEPOINT PSYCHIATRIC HOSPITAL,LAKESIDE,AZ,85929,2.0,100.0,100.0,100.0,17.0,17.0,93.0,28.6,14.3,69.82,16.3,0.05,0.04,34.175198,-109.972598
69,34028,AURORA BEHAVIORAL HEALTHCARE-TEMPE,TEMPE,AZ,85283,34.0,92.0,35.0,99.0,91.0,50.0,45.0,48.6,32.4,79.0,22.7,0.17,0.0,33.373723,-111.876915
70,34029,OASIS BEHAVIORAL HEALTH HOSPITAL,CHANDLER,AZ,85225,61.96,6.0,54.0,48.0,64.0,10.0,71.0,53.3,33.3,73.7,20.9,0.11,0.25,33.325991,-111.824367
71,34030,PALO VERDE BEHAVIORAL HEALTH,TUCSON,AZ,85712,78.0,80.0,87.0,71.0,97.0,83.0,91.0,57.1,42.9,80.1,19.6,0.14,0.02,32.253714,-110.883744
72,34031,QUAIL RUN BEHAVIORAL HEALTH,PHOENIX,AZ,85027,81.0,92.0,87.0,60.0,80.0,79.0,97.0,56.4,34.5,78.5,22.2,0.16,0.03,33.276539,-112.18717
73,34032,COPPER SPRINGS EAST- GILBERT,AVONDALE,AZ,85392,30.19,99.0,78.0,87.0,82.0,69.0,60.0,50.0,45.0,71.27,22.7,0.0,0.0,33.435596,-112.349602
74,34033,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,TUCSON,AZ,85712,3.0,63.0,95.0,72.0,74.0,13.0,9.0,40.0,20.0,74.61,22.3,0.01,0.0,32.253714,-110.883744
75,34034,DESTINY SPRINGS HEALTHCARE,SURPRISE,AZ,85378,0.0,72.0,67.0,24.0,64.0,11.0,0.0,52.4,33.3,76.73,21.96,0.03,0.15,33.276539,-112.18717
76,34035,AVENIR BEHAVIORAL HEALTH CENTER,SURPRISE,AZ,85374,28.0,85.0,100.0,18.0,95.0,53.0,65.0,49.09,26.28,73.66,19.3,0.0,0.0,33.276539,-112.18717
77,40002,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,72830,45.08,85.0,85.64,0.0,94.0,61.0,100.0,53.3,53.3,72.12,22.9,0.0,0.61,35.473886,-93.516564
78,40007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,81.51,88.0,63.58,0.0,78.67,51.11,6.0,51.02,28.0,79.03,19.98,0.0,0.0,34.742911,-92.346652
79,40011,CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,72833,55.52,100.0,61.4,87.18,100.0,100.0,100.0,54.5,9.1,76.92,22.2,0.0,0.0,35.052818,-93.381315
80,40014,WHITE COUNTY MEDICAL CENTER,SEARCY,AR,72143,40.0,99.0,85.0,87.19,46.0,14.0,81.0,40.06,18.26,73.91,21.2,0.03,0.09,35.243622,-91.731729
81,40015,MENA REGIONAL HEALTH SYSTEM,MENA,AR,71953,0.0,100.0,91.43,77.74,29.0,62.25,95.0,45.2,22.82,73.75,17.9,0.57,1.81,34.503699,-94.194756
82,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,0.0,8.0,56.59,76.99,77.0,45.0,90.0,57.77,34.0,76.87,25.0,0.0,0.0,36.295086,-93.092861
83,40019,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,72335,74.15,94.93,83.4,80.79,83.91,79.0,55.29,48.8,26.03,78.04,20.62,0.18,0.14,35.026272,-90.859555
84,40020,ST BERNARDS MEDICAL CENTER,JONESBORO,AR,72401,92.0,100.0,96.0,98.0,98.0,100.0,100.0,44.0,26.0,82.5,25.8,0.0,0.0,35.835847,-90.623071
85,40026,ST VINCENT HOT SPRINGS,HOT SPRINGS,AR,71903,0.0,100.0,82.86,55.14,91.77,79.01,69.0,55.23,31.74,71.99,21.58,0.0,0.0,34.581374,-93.099403
86,40027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,72653,85.32,88.0,80.27,52.6,85.0,100.0,0.0,36.8,15.8,76.73,18.7,0.0,0.0,36.318679,-92.372153
87,40029,CONWAY REGIONAL HEALTH SYSTEM,CONWAY,AR,72034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.09,35.17,77.54,18.9,0.0,0.0,35.07,-92.47
88,40047,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,72455,39.21,77.07,56.59,87.52,83.0,70.0,20.0,43.18,21.02,78.38,20.4,0.0,0.05,36.324042,-91.084748
89,40051,DREW MEMORIAL HEALTH SYSTEM,MONTICELLO,AR,71655,89.54,80.0,0.0,0.0,91.78,66.54,0.0,60.54,36.46,69.09,21.58,0.0,0.0,33.604967,-91.755955
90,40055,BAPTIST HEALTH - FORT SMITH,FORT SMITH,AR,72901,40.94,68.0,96.04,47.01,94.0,73.0,97.0,30.8,23.1,74.35,19.9,0.0,0.0,35.231245,-94.339412
91,40071,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,71603,0.0,97.0,69.0,0.0,100.0,100.0,77.0,41.7,20.8,75.43,20.2,0.0,0.0,34.148699,-92.083653
92,40078,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,71901,0.0,96.0,54.0,78.18,86.0,65.55,94.0,43.77,21.55,71.85,21.9,0.0,0.0,34.526841,-92.958697
93,40084,SALINE MEMORIAL HOSPITAL,BENTON,AR,72015,10.0,98.0,5.0,11.0,90.0,26.0,0.0,59.46,35.5,73.7,24.7,0.0,2.01,34.614356,-92.668034
94,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,72205,86.41,95.0,1.0,77.56,67.0,56.0,80.0,11.1,0.0,74.55,21.4,0.0,0.0,34.742911,-92.346652
95,40119,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,72503,35.21,100.0,3.0,74.55,100.0,90.0,72.0,29.4,11.8,79.48,23.6,0.09,0.62,35.734617,-91.534303
96,40132,LEVI HOSPITAL,HOT SPRINGS,AR,71901,100.0,96.0,100.0,100.0,100.0,100.0,100.0,60.0,33.3,76.7,19.7,0.51,0.13,34.526841,-92.958697
97,40153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,71801,100.0,100.0,100.0,47.01,100.0,100.0,100.0,41.8,19.8,68.89,23.2,0.0,0.0,33.673559,-93.606807
98,41302,DARDANELLE HOSPITAL,DARDANELLE,AR,72834,92.0,98.0,72.87,92.89,93.0,100.0,95.0,49.69,26.82,70.99,17.3,0.0,0.0,35.235025,-93.184774
99,41323,ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,71635,58.09,40.0,0.0,0.0,85.92,70.56,78.0,57.16,33.45,71.59,17.7,0.0,0.0,33.180855,-91.806256
100,41327,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,79.74,4.0,0.0,0.0,85.46,36.7,100.0,45.82,23.37,72.5,20.9,0.0,0.0,33.573602,-92.097852
101,44004,VISTA HEALTH FAYETTEVILLE,FAYETTEVILLE,AR,72703,8.0,71.0,62.0,41.0,88.0,94.0,13.0,42.9,18.4,75.7,20.0,0.14,0.27,36.126249,-94.074168
102,44005,BRIDGEWAY HOSPITAL,NORTH LITTLE ROCK,AR,72113,56.0,82.0,92.0,60.0,99.0,100.0,67.0,50.0,28.5,81.5,22.3,0.11,0.28,34.857241,-92.390298
103,44006,VALLEY BEHAVIORAL HEALTH SYSTEM,BARLING,AR,72923,21.0,83.0,85.0,50.0,86.0,42.0,72.0,53.3,23.3,79.6,19.3,0.02,0.01,35.216137,-94.354857
104,44007,RIVENDELL BEHAVIORAL HEALTH SERVICES,BENTON,AR,72019,50.0,100.0,86.0,25.0,89.0,87.0,79.0,47.0,27.3,77.1,23.5,0.11,0.0,34.56,-92.58
105,44011,ARKANSAS STATE HOSPITAL,LITTLE ROCK,AR,72205,53.0,92.0,89.0,54.0,91.0,33.36,23.0,57.99,34.19,69.4,20.86,0.6,0.12,34.742911,-92.346652
106,44017,UNITED METHODIST BEHAVIORAL HOSPITAL,MAUMELLE,AR,72113,46.86,100.0,0.0,0.0,0.0,0.0,95.0,60.21,36.17,72.34,20.81,0.23,0.24,34.857241,-92.390298
107,44019,SPRINGWOODS BEHAVIORAL HEALTH SERVICES,FAYETTEVILLE,AR,72704,82.15,100.0,98.0,100.0,98.0,84.0,89.0,33.3,17.5,77.2,21.5,0.37,0.05,36.087732,-94.309322
108,44020,RIVERVIEW BEHAVIORAL HEALTH,TEXARKANA,AR,71854,8.0,31.0,60.0,43.0,75.0,58.0,75.0,39.6,24.5,72.1,23.0,0.14,0.31,33.431043,-93.876485
109,44021,PERIMETER BEHAVIORAL HOSPITAL OF WEST MEMPHIS,WEST MEMPHIS,AR,72301,88.58,92.0,0.0,0.0,0.0,0.0,97.0,57.42,33.69,70.96,21.1,0.4,0.0,35.210811,-90.203849
110,44022,CONWAY BEHAVIORAL HEALTH,CONWAY,AR,72034,0.0,2.0,84.0,14.0,19.0,3.0,0.0,46.1,23.7,80.6,23.0,0.01,0.01,35.07,-92.47
111,50007,PENINSULA MEDICAL CENTER,BURLINGAME,CA,94010,86.0,62.0,93.0,62.0,61.0,21.0,24.0,57.1,40.0,59.3,21.3,0.53,1.06,37.567086,-122.367573
112,50024,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,91950,36.0,86.0,76.9,100.0,95.0,94.0,95.0,62.4,48.2,76.0,22.0,0.0,0.0,32.671194,-117.084353
113,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,SAN DIEGO,CA,92103,80.5,92.0,81.0,86.0,94.0,71.0,66.0,74.4,59.0,77.76,15.8,0.29,0.4,32.746085,-117.170517
114,50026,GROSSMONT HOSPITAL,LA MESA,CA,91942,94.0,90.0,100.0,95.0,94.0,71.0,89.0,56.0,36.9,83.7,16.8,0.01,0.03,32.781084,-117.018638
115,50038,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,CA,95128,35.0,43.0,54.13,65.95,87.81,79.45,0.0,25.0,12.5,75.69,18.9,2.86,0.39,37.189396,-121.705327
116,50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,CA,91342,91.0,78.0,87.0,79.0,78.0,89.0,23.0,49.29,26.46,69.75,20.2,2.88,0.64,33.786594,-118.298662
117,50047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,SAN FRANCISCO,CA,94109,56.93,100.0,69.0,39.0,75.0,34.0,80.0,41.4,17.2,69.8,18.6,0.07,0.08,37.795219,-122.420782
118,50057,KAWEAH HEALTH MEDICAL CENTER,VISALIA,CA,93291,52.23,97.0,86.0,100.0,97.0,80.0,84.0,38.5,9.6,84.1,19.3,1.86,2.29,36.184014,-119.363349
119,50058,GLENDALE MEM HOSPITAL & HLTH CENTER,GLENDALE,CA,91204,0.0,36.0,2.0,16.0,0.0,0.0,0.0,25.0,16.7,71.2,23.4,1.1,0.05,33.786594,-118.298662
120,50069,PROVIDENCE ST. JOSEPH HOSPITAL,ORANGE,CA,92868,13.0,0.0,80.0,36.0,42.0,2.0,0.0,60.0,50.0,82.4,19.6,7.96,1.13,33.640302,-117.769442
121,50077,SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,92103,90.0,100.0,96.0,96.0,100.0,99.0,79.0,64.3,28.6,76.0,19.6,0.01,0.0,32.746085,-117.170517
122,50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,SAN PEDRO,CA,90732,74.0,91.0,61.0,46.0,90.0,85.0,85.0,55.6,38.9,76.16,18.2,1.71,0.42,33.786594,-118.298662
123,50089,COMMUNITY HOSPITAL OF SAN BERNARDINO,SAN BERNARDINO,CA,92411,17.0,70.0,0.0,1.0,44.0,9.0,3.0,24.5,10.2,65.7,28.7,0.85,1.18,34.839964,-115.967051
124,50113,SAN MATEO MEDICAL CENTER,SAN MATEO,CA,94403,93.0,94.0,64.8,98.0,93.0,92.0,80.0,47.67,25.02,70.27,18.8,0.49,1.77,37.541486,-122.304079
125,50115,PALOMAR HEALTH DOWNTOWN CAMPUS,ESCONDIDO,CA,92025,100.0,92.0,91.0,48.0,82.0,35.0,66.0,69.2,46.2,79.13,22.1,0.36,0.2,33.057128,-117.083403
126,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,CA,91325,58.96,91.0,94.0,79.0,93.0,75.0,6.0,55.0,32.5,78.3,23.8,0.01,0.0,33.786594,-118.298662
127,50124,USC VERDUGO HILLS HOSPITAL,GLENDALE,CA,91208,35.53,76.0,49.0,6.0,52.0,7.0,16.0,45.0,35.0,70.3,18.3,0.0,0.0,33.786594,-118.298662
128,50127,WOODLAND MEMORIAL HOSPITAL,WOODLAND,CA,95695,34.0,97.0,91.0,79.0,98.0,31.0,28.0,28.3,11.7,78.0,19.3,0.26,0.04,38.74388,-121.915653
129,50128,TRI-CITY MEDICAL CENTER,OCEANSIDE,CA,92056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99,27.08,77.42,19.15,0.0,0.0,33.016928,-116.846046
130,50132,SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL,CA,91776,0.0,100.0,0.0,0.0,71.91,25.97,99.0,40.0,24.0,74.19,18.7,0.0,0.0,33.786594,-118.298662
