"Column1","Facility Name","City","State","ZIP Code","HBIPS-5 %","SMD %","SUB-2 %","SUB-3 %","TOB-2 %","TOB-3 %","TR-2 %","FUH-30 %","FUH-7 %","MedCont %","READM-30-IPF Rate","HBIPS-2 %","HBIPS-3 %","code","city","state","county","area_code","lat","lon"
12,WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,84.0,0.0,66.0,0.0,83.0,8.0,93.0,54.5,18.2,78.0,22.1,0.0,0.0,36340,Geneva,AL,GENEVA,"",31.053473,-85.784393
13,MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,100.0,100.0,37.0,84.0,89.0,89.0,100.0,42.0,24.0,71.0,21.6,0.0,0.0,36027,Eufaula,AL,BARBOUR,"",31.914745,-85.389969
14,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,89.0,98.0,54.0,58.0,77.0,96.0,48.0,33.3,6.7,67.0,18.2,0.0,0.0,36207,Anniston,AL,CALHOUN,"",33.720373,-85.753344
15,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,35601,30.0,53.0,54.0,14.0,69.0,45.0,28.0,40.0,30.0,82.3,21.4,0.11,0.1,35601,Decatur,AL,MORGAN,"",34.549833,-86.995551
16,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,73.0,100.0,81.0,75.0,100.0,96.0,100.0,57.0,34.0,75.0,17.5,0.0,0.0,35594,Winfield,AL,MARION,"",34.062,-87.814078
17,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,79.0,97.0,100.0,97.0,97.0,99.0,96.0,24.5,11.3,77.2,19.9,0.0,0.0,35502,Jasper,AL,WALKER,"",33.901993,-87.293888
18,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,57.0,98.0,73.0,31.0,42.0,49.0,0.0,36.0,17.0,75.0,18.2,0.0,0.0,36451,Grove Hill,AL,CLARKE,"",31.704953,-87.801307
19,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,59.0,100.0,77.0,100.0,92.0,82.0,60.0,18.8,6.3,64.2,21.5,0.6,0.27,35401,Tuscaloosa,AL,TUSCALOOSA,"",33.241899,-87.597599
20,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,59.0,53.0,63.0,83.0,71.0,39.0,74.0,25.0,20.0,72.0,21.4,0.0,0.0,35211,Birmingham,AL,JEFFERSON,"",33.45717,-86.864909
21,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,32.0,96.0,69.0,53.0,48.0,0.0,66.0,61.0,31.0,77.0,20.6,1.2,0.0,35243,Birmingham,AL,JEFFERSON,"",33.445932,-86.750203
22,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,19.0,80.0,89.0,82.0,60.0,70.0,68.0,35.0,25.0,80.0,18.3,0.0,1.24,36089,Union Springs,AL,BULLOCK,"",32.142191,-85.742406
23,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,36732,100.0,100.0,100.0,100.0,100.0,93.0,100.0,23.5,5.9,78.0,20.1,1.53,4.1,36732,Demopolis,AL,MARENGO,"",32.384949,-87.824556
24,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36607,47.0,90.0,46.0,70.0,27.0,18.0,0.0,45.5,36.4,79.0,18.3,0.14,0.0,36607,Mobile,AL,MOBILE,"",30.788123,-88.088073
25,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35021,23.0,62.0,31.0,56.0,50.0,29.0,21.0,37.0,38.0,80.0,19.0,1.86,0.0,35021,Bessemer,AL,JEFFERSON,"",33.544622,-86.929208
26,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,84.0,92.0,38.0,80.0,89.0,73.0,92.0,56.0,19.0,75.0,19.4,0.0,0.0,35565,Haleyville,AL,WINSTON,"",34.179569,-87.505293
27,TROY REGIONAL MEDICAL CENTER,TROY,AL,36081,7.0,97.0,12.0,25.0,66.0,44.0,87.0,33.3,12.5,70.0,25.0,0.0,0.0,36081,Troy,AL,PIKE,"",31.869128,-85.966268
28,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,50.0,95.0,7.0,29.0,56.0,9.0,77.0,33.3,22.2,81.0,21.2,0.0,0.0,36507,Bay Minette,AL,BALDWIN,"",30.763492,-87.756371
29,BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35209,51.0,73.0,94.0,91.0,71.0,10.0,29.0,32.6,15.9,68.5,18.0,0.82,0.0,35209,Birmingham,AL,JEFFERSON,"",33.465336,-86.808213
30,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,36037,32.0,99.0,100.0,100.0,100.0,100.0,100.0,58.0,21.0,79.0,19.8,0.0,0.0,36037,Greenville,AL,BUTLER,"",31.796729,-86.596233
31,SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,33.0,90.0,0.0,50.0,7.0,13.0,43.0,41.2,23.5,78.0,19.1,0.0,0.0,35661,Muscle Shoals,AL,COLBERT,"",34.758537,-87.70004
32,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,48.0,24.0,69.0,45.0,67.0,6.0,28.0,61.0,30.0,66.0,19.9,0.0,0.0,35150,Sylacauga,AL,TALLADEGA,"",33.316003,-86.228703
33,HILL CREST BEHAVIORAL HEALTH SERVICES,BIRMINGHAM,AL,35212,100.0,99.0,100.0,99.0,100.0,99.0,94.0,56.0,22.0,64.0,21.0,0.07,0.0,35212,Birmingham,AL,JEFFERSON,"",33.547803,-86.749538
34,MOUNTAIN VIEW HOSPITAL,GADSDEN,AL,35902,0.0,55.0,0.0,0.0,0.0,0.0,100.0,56.0,21.0,79.0,20.5,0.16,0.0,35902,Gadsden,AL,ETOWAH,"",33.984062,-85.803434
35,BRYCE HOSPITAL,TUSCALOOSA,AL,35401,100.0,100.0,53.0,0.0,51.0,40.0,0.0,45.0,21.0,67.0,22.0,0.52,0.08,35401,Tuscaloosa,AL,TUSCALOOSA,"",33.241899,-87.597599
36,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,TUSCALOOSA,AL,35401,86.0,94.0,0.0,0.0,77.0,54.0,79.0,27.3,18.2,74.0,20.8,0.0,0.05,35401,Tuscaloosa,AL,TUSCALOOSA,"",33.241899,-87.597599
37,BAYPOINTE BEHAVIORAL HEALTH,MOBILE,AL,36693,97.0,38.0,64.0,55.0,1.0,3.0,95.0,49.0,39.0,73.0,19.0,0.33,0.31,36693,Mobile,AL,MOBILE,"",30.635741,-88.174502
38,BEACON CHILDREN'S HOSPITAL,LUVERNE,AL,36049,35.0,100.0,0.0,0.0,84.0,33.0,1.0,54.0,22.0,66.0,21.0,0.16,0.18,36049,Luverne,AL,CRENSHAW,"",31.754655,-86.291595
39,"SANCTUARY AT THE WOODLANDS, THE",CULLMAN,AL,35055,91.0,100.0,44.0,48.0,100.0,92.0,98.0,50.0,27.8,79.3,19.8,0.0,0.0,35055,Cullman,AL,CULLMAN,"",34.111067,-86.853185
40,EASTPOINTE HOSPITAL,DAPHNE,AL,36526,93.0,77.0,1.0,0.0,1.0,0.0,93.0,48.0,12.0,71.0,16.4,0.06,2.54,36526,Daphne,AL,BALDWIN,"",30.540328,-87.6912
41,UNITY PSYCHIATRIC CARE - HUNTSVILLE,HUNTSVILLE,AL,35806,85.0,93.0,46.0,0.0,59.0,56.0,90.0,46.0,14.0,72.0,22.6,0.0,0.0,35806,Huntsville,AL,MADISON,"",34.76184,-86.686994
42,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,83.0,92.0,100.0,70.0,88.0,82.0,54.0,32.0,16.0,78.0,19.2,0.01,3.97,99801,Juneau,AK,JUNEAU,"",58.373561,-134.523946
43,NORTH STAR HOSPITAL,ANCHORAGE,AK,99508,34.0,83.0,0.0,99.0,100.0,95.0,73.0,44.0,32.0,75.0,21.0,0.25,0.37,99508,Anchorage,AK,ANCHORAGE,"",61.205076,-149.823203
44,ALASKA PSYCHIATRIC INSTITUTE,ANCHORAGE,AK,99508,81.0,0.0,0.0,0.0,79.0,0.0,0.0,44.8,27.6,76.0,17.1,0.33,0.94,99508,Anchorage,AK,ANCHORAGE,"",61.205076,-149.823203
45,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,85006,41.0,88.0,83.0,93.0,73.0,89.0,85.0,56.3,50.0,75.0,18.5,0.17,0.02,85006,Phoenix,AZ,MARICOPA,"",33.276539,-112.18717
46,TUCSON MEDICAL CENTER,TUCSON,AZ,85712,0.0,80.0,98.0,91.0,48.0,30.0,62.0,66.7,46.7,81.0,23.3,0.0,0.0,85712,Tucson,AZ,PIMA,"",32.253714,-110.883744
47,ST. MARY'S HOSPITAL,TUCSON,AZ,85745,0.0,76.0,77.0,92.0,73.0,68.0,1.0,56.0,15.0,68.0,20.8,0.0,0.0,85745,Tucson,AZ,PIMA,"",32.215967,-110.869052
48,ST JOSEPH'S HOSPITAL,TUCSON,AZ,85711,70.0,69.0,74.0,81.0,84.0,87.0,70.0,38.0,34.0,74.0,25.3,0.02,0.0,85711,Tucson,AZ,PIMA,"",32.214075,-110.883744
49,VALLEYWISE HEALTH MEDICAL CENTER,PHOENIX,AZ,85008,95.0,98.0,98.0,69.0,96.0,94.0,88.0,61.4,47.4,77.8,14.0,4.18,1.01,85008,Phoenix,AZ,MARICOPA,"",33.446797,-111.953512
50,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,86001,43.0,97.0,78.0,86.0,45.0,63.0,64.0,55.0,23.0,79.0,19.9,0.0,0.0,86001,Flagstaff,AZ,COCONINO,"",35.932116,-111.597853
51,ST LUKE'S MEDICAL CENTER,PHOENIX,AZ,85006,53.0,88.0,40.0,48.0,63.0,43.0,90.0,40.0,29.0,78.0,17.0,-4.0,-1.0,85006,Phoenix,AZ,MARICOPA,"",33.276539,-112.18717
52,CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,85635,47.0,97.0,89.0,99.0,89.0,89.0,74.0,58.3,37.5,81.0,18.1,0.16,0.37,85635,Sierra Vista,AZ,COCHISE,"",31.810649,-109.997623
53,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,85901,62.0,100.0,87.0,54.0,100.0,52.0,90.0,51.0,32.0,64.0,20.0,0.14,0.0,85901,Show Low,AZ,NAVAJO,"",34.570811,-110.032025
54,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,85306,86.0,89.0,94.0,91.0,55.0,60.0,84.0,50.0,35.7,77.6,23.0,0.43,0.01,85306,Glendale,AZ,MARICOPA,"",33.276539,-112.18717
55,BANNER DEL E. WEBB MEDICAL CENTER,SUN CITY WEST,AZ,85375,29.0,91.0,95.0,88.0,84.0,95.0,79.0,49.1,28.1,78.0,20.7,0.02,0.0,85375,Sun City West,AZ,MARICOPA,"",33.276539,-112.18717
56,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,85713,0.0,83.0,89.0,90.0,57.0,26.0,86.0,52.6,15.8,76.0,21.4,0.01,0.02,85713,Tucson,AZ,PIMA,"",32.192676,-110.945048
57,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,85755,20.0,49.0,35.0,57.0,71.0,55.0,2.0,39.1,34.8,76.0,18.9,0.0,0.0,85755,Tucson,AZ,PIMA,"",32.44,-110.97
58,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,85209,82.0,93.0,38.0,34.0,77.0,18.0,70.0,55.6,33.3,81.0,16.6,0.04,0.02,85209,Mesa,AZ,MARICOPA,"",33.37,-111.64
59,BANNER BEHAVIORAL HEALTH HOSPITAL,SCOTTSDALE,AZ,85251,100.0,91.0,88.0,86.0,83.0,78.0,76.0,66.1,41.1,73.0,19.2,0.28,0.22,85251,Scottsdale,AZ,MARICOPA,"",33.420061,-111.792658
60,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",PHOENIX,AZ,85006,69.0,93.0,74.0,93.0,70.0,90.0,62.0,71.1,55.3,72.5,23.0,0.2,0.3,85006,Phoenix,AZ,MARICOPA,"",33.276539,-112.18717
61,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,PHOENIX,AZ,85007,53.0,27.0,56.0,61.0,77.0,20.0,10.0,55.9,44.1,73.1,22.1,0.03,0.01,85007,Phoenix,AZ,MARICOPA,"",33.276539,-112.18717
62,ARIZONA STATE HOSPITAL,PHOENIX,AZ,85008,100.0,85.0,0.0,0.0,0.0,0.0,0.0,54.0,18.0,77.0,17.0,2.88,1.25,85008,Phoenix,AZ,MARICOPA,"",33.446797,-111.953512
63,SONORA BEHAVIORAL HEALTH HOSPITAL,TUCSON,AZ,85704,3.0,13.0,63.0,58.0,68.0,48.0,52.0,46.9,31.3,67.2,19.6,0.21,0.32,85704,Tucson,AZ,PIMA,"",32.395222,-111.100062
64,"GUIDANCE CENTER, THE",FLAGSTAFF,AZ,86004,29.0,86.0,100.0,100.0,0.0,0.0,0.0,61.5,46.2,71.0,22.3,0.0,2.6,86004,Flagstaff,AZ,COCONINO,"",35.610905,-111.324353
65,AURORA BEHAVIORAL HEALTH SYSTEM,GLENDALE,AZ,85302,31.0,75.0,80.0,69.0,80.0,84.0,82.0,60.0,40.0,66.1,20.2,0.02,0.0,85302,Glendale,AZ,MARICOPA,"",33.276539,-112.18717
66,WINDHAVEN PSYCHIATRIC HOSPITAL,PRESCOTT VALLEY,AZ,86314,83.0,45.0,90.0,100.0,90.0,98.0,61.0,31.8,22.7,77.0,21.6,0.08,0.0,86314,Prescott Valley,AZ,YAVAPAI,"",34.627778,-112.262805
67,VALLEY HOSPITAL,PHOENIX,AZ,85018,100.0,100.0,77.0,100.0,98.0,100.0,72.0,66.7,43.9,74.0,22.5,0.01,0.0,85018,Phoenix,AZ,MARICOPA,"",33.482033,-111.735322
68,CHANGEPOINT PSYCHIATRIC HOSPITAL,LAKESIDE,AZ,85929,2.0,100.0,100.0,100.0,17.0,17.0,93.0,28.6,14.3,67.0,16.3,0.05,0.04,85929,Lakeside,AZ,NAVAJO,"",34.175198,-109.972598
69,AURORA BEHAVIORAL HEALTHCARE-TEMPE,TEMPE,AZ,85283,34.0,92.0,35.0,99.0,91.0,50.0,45.0,48.6,32.4,79.0,22.7,0.17,0.0,85283,Tempe,AZ,MARICOPA,"",33.373723,-111.876915
70,OASIS BEHAVIORAL HEALTH HOSPITAL,CHANDLER,AZ,85225,72.0,6.0,54.0,48.0,64.0,10.0,71.0,53.3,33.3,73.7,20.9,0.11,0.25,85225,Chandler,AZ,MARICOPA,"",33.325991,-111.824367
71,PALO VERDE BEHAVIORAL HEALTH,TUCSON,AZ,85712,78.0,80.0,87.0,71.0,97.0,83.0,91.0,57.1,42.9,80.1,19.6,0.14,0.02,85712,Tucson,AZ,PIMA,"",32.253714,-110.883744
72,QUAIL RUN BEHAVIORAL HEALTH,PHOENIX,AZ,85027,81.0,92.0,87.0,60.0,80.0,79.0,97.0,56.4,34.5,78.5,22.2,0.16,0.03,85027,Phoenix,AZ,MARICOPA,"",33.276539,-112.18717
73,COPPER SPRINGS EAST- GILBERT,AVONDALE,AZ,85392,30.0,99.0,78.0,87.0,82.0,69.0,60.0,50.0,45.0,71.0,22.7,0.0,0.0,,,,,,,
74,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,TUCSON,AZ,85712,3.0,63.0,95.0,72.0,74.0,13.0,9.0,40.0,20.0,68.0,22.3,0.01,0.0,85712,Tucson,AZ,PIMA,"",32.253714,-110.883744
75,DESTINY SPRINGS HEALTHCARE,SURPRISE,AZ,85378,0.0,72.0,67.0,24.0,64.0,11.0,0.0,52.4,33.3,77.0,17.0,0.03,0.15,85378,Surprise,AZ,MARICOPA,"",33.276539,-112.18717
76,AVENIR BEHAVIORAL HEALTH CENTER,SURPRISE,AZ,85374,28.0,85.0,100.0,18.0,95.0,53.0,65.0,48.0,40.0,72.0,20.0,0.0,0.0,85374,Surprise,AZ,MARICOPA,"",33.276539,-112.18717
77,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,72830,38.0,85.0,102.0,0.0,94.0,61.0,100.0,53.3,53.3,73.0,22.9,0.0,0.61,72830,Clarksville,AR,JOHNSON,"",35.473886,-93.516564
78,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,77.0,88.0,40.0,0.0,83.0,65.0,6.0,39.0,25.0,79.0,22.0,0.0,0.0,72205,Little Rock,AR,PULASKI,"",34.742911,-92.346652
79,CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,72833,31.0,100.0,52.0,58.0,100.0,100.0,100.0,54.5,9.1,66.0,22.2,0.0,0.0,72833,Danville,AR,YELL,"",35.052818,-93.381315
80,WHITE COUNTY MEDICAL CENTER,SEARCY,AR,72143,40.0,99.0,85.0,33.0,46.0,14.0,81.0,44.0,19.0,64.0,21.2,0.03,0.09,72143,Searcy,AR,WHITE,"",35.243622,-91.731729
81,MENA REGIONAL HEALTH SYSTEM,MENA,AR,71953,0.0,100.0,65.0,62.0,29.0,44.0,95.0,53.0,35.0,72.0,17.9,0.57,1.81,71953,Mena,AR,POLK,"",34.503699,-94.194756
82,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,0.0,8.0,51.0,40.0,77.0,45.0,90.0,52.0,35.0,67.0,25.0,0.0,0.0,72601,Harrison,AR,BOONE,"",36.295086,-93.092861
83,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,72335,27.0,91.0,63.0,47.0,75.0,57.0,59.0,37.0,32.0,80.0,19.0,-1.0,1.0,72335,Forrest City,AR,SAINT FRANCIS,"",35.026272,-90.859555
84,ST BERNARDS MEDICAL CENTER,JONESBORO,AR,72401,92.0,100.0,96.0,98.0,98.0,100.0,100.0,44.0,26.0,82.5,25.8,0.0,0.0,72401,Jonesboro,AR,CRAIGHEAD,"",35.835847,-90.623071
85,ST VINCENT HOT SPRINGS,HOT SPRINGS,AR,71903,0.0,100.0,37.0,66.0,89.0,43.0,69.0,41.0,33.0,69.0,18.0,0.0,0.0,71903,Hot Springs National Park,AR,GARLAND,"",34.581374,-93.099403
86,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,72653,50.0,88.0,42.0,49.0,85.0,100.0,0.0,36.8,15.8,77.0,18.7,0.0,0.0,72653,Mountain Home,AR,BAXTER,"",36.318679,-92.372153
87,CONWAY REGIONAL HEALTH SYSTEM,CONWAY,AR,72034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,65.0,18.9,0.0,0.0,72034,Conway,AR,FAULKNER,"",35.07,-92.47
88,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,72455,77.0,94.0,62.0,87.0,83.0,70.0,20.0,62.0,27.0,75.0,20.4,0.0,0.05,72455,Pocahontas,AR,RANDOLPH,"",36.324042,-91.084748
89,DREW MEMORIAL HEALTH SYSTEM,MONTICELLO,AR,71655,32.0,80.0,0.0,0.0,62.0,87.0,0.0,45.0,17.0,67.0,21.0,0.0,0.0,71655,Monticello,AR,DREW,"",33.604967,-91.755955
90,BAPTIST HEALTH - FORT SMITH,FORT SMITH,AR,72901,42.0,68.0,56.0,58.0,94.0,73.0,97.0,30.8,23.1,74.0,19.9,0.0,0.0,72901,Fort Smith,AR,SEBASTIAN,"",35.231245,-94.339412
91,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,71603,0.0,97.0,69.0,0.0,100.0,100.0,77.0,41.7,20.8,71.0,20.2,0.0,0.0,71603,Pine Bluff,AR,JEFFERSON,"",34.148699,-92.083653
92,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,71901,0.0,96.0,54.0,82.0,86.0,85.0,94.0,63.0,16.0,66.0,21.9,0.0,0.0,71901,Hot Springs National Park,AR,GARLAND,"",34.526841,-92.958697
93,SALINE MEMORIAL HOSPITAL,BENTON,AR,72015,10.0,98.0,5.0,11.0,90.0,26.0,0.0,55.0,40.0,81.0,24.7,0.0,2.01,72015,Benton,AR,SALINE,"",34.614356,-92.668034
94,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,72205,59.0,95.0,1.0,31.0,67.0,56.0,80.0,11.1,0.0,65.0,21.4,0.0,0.0,72205,Little Rock,AR,PULASKI,"",34.742911,-92.346652
95,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,72503,53.0,100.0,3.0,53.0,100.0,90.0,72.0,29.4,11.8,72.0,23.6,0.09,0.62,72503,Batesville,AR,INDEPENDENCE,"",35.734617,-91.534303
96,LEVI HOSPITAL,HOT SPRINGS,AR,71901,100.0,96.0,100.0,100.0,100.0,100.0,100.0,60.0,33.3,76.7,19.7,0.51,0.13,71901,Hot Springs National Park,AR,GARLAND,"",34.526841,-92.958697
97,WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,71801,100.0,100.0,100.0,94.0,100.0,100.0,100.0,57.0,40.0,66.0,23.2,0.0,0.0,71801,Hope,AR,HEMPSTEAD,"",33.673559,-93.606807
98,DARDANELLE HOSPITAL,DARDANELLE,AR,72834,92.0,98.0,46.0,33.0,93.0,100.0,95.0,47.0,24.0,72.0,17.3,0.0,0.0,72834,Dardanelle,AR,YELL,"",35.235025,-93.184774
99,ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,71635,35.0,40.0,0.0,0.0,80.0,34.0,78.0,39.0,14.0,66.0,17.7,0.0,0.0,71635,Crossett,AR,ASHLEY,"",33.180855,-91.806256
100,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,48.0,4.0,0.0,0.0,98.0,39.0,100.0,49.0,17.0,76.0,20.9,0.0,0.0,71671,Warren,AR,BRADLEY,"",33.573602,-92.097852
101,VISTA HEALTH FAYETTEVILLE,FAYETTEVILLE,AR,72703,8.0,71.0,62.0,41.0,88.0,94.0,13.0,42.9,18.4,75.7,20.0,0.14,0.27,72703,Fayetteville,AR,WASHINGTON,"",36.126249,-94.074168
102,BRIDGEWAY HOSPITAL,NORTH LITTLE ROCK,AR,72113,56.0,82.0,92.0,60.0,99.0,100.0,67.0,50.0,28.5,81.5,22.3,0.11,0.28,72113,Maumelle,AR,PULASKI,"",34.857241,-92.390298
103,VALLEY BEHAVIORAL HEALTH SYSTEM,BARLING,AR,72923,21.0,83.0,85.0,50.0,86.0,42.0,72.0,53.3,23.3,79.6,19.3,0.02,0.01,72923,Barling,AR,SEBASTIAN,"",35.216137,-94.354857
104,RIVENDELL BEHAVIORAL HEALTH SERVICES,BENTON,AR,72019,50.0,100.0,86.0,25.0,89.0,87.0,79.0,47.0,27.3,77.1,23.5,0.11,0.0,72019,Benton,AR,SALINE,"",34.56,-92.58
105,ARKANSAS STATE HOSPITAL,LITTLE ROCK,AR,72205,53.0,92.0,89.0,54.0,91.0,90.0,23.0,56.0,23.0,65.0,22.0,0.6,0.12,72205,Little Rock,AR,PULASKI,"",34.742911,-92.346652
106,UNITED METHODIST BEHAVIORAL HOSPITAL,MAUMELLE,AR,72113,73.0,100.0,0.0,0.0,0.0,0.0,95.0,37.0,29.0,78.0,20.0,0.23,0.24,72113,Maumelle,AR,PULASKI,"",34.857241,-92.390298
107,SPRINGWOODS BEHAVIORAL HEALTH SERVICES,FAYETTEVILLE,AR,72704,49.0,100.0,98.0,100.0,98.0,84.0,89.0,33.3,17.5,77.2,21.5,0.37,0.05,72704,Fayetteville,AR,WASHINGTON,"",36.087732,-94.309322
108,RIVERVIEW BEHAVIORAL HEALTH,TEXARKANA,AR,71854,8.0,31.0,60.0,43.0,75.0,58.0,75.0,39.6,24.5,72.1,23.0,0.14,0.31,71854,Texarkana,AR,MILLER,"",33.431043,-93.876485
109,PERIMETER BEHAVIORAL HOSPITAL OF WEST MEMPHIS,WEST MEMPHIS,AR,72301,53.0,92.0,0.0,0.0,0.0,0.0,97.0,50.0,28.0,78.0,17.0,0.4,0.0,72301,West Memphis,AR,CRITTENDEN,"",35.210811,-90.203849
110,CONWAY BEHAVIORAL HEALTH,CONWAY,AR,72034,0.0,2.0,84.0,14.0,19.0,3.0,0.0,46.1,23.7,80.6,23.0,0.01,0.01,72034,Conway,AR,FAULKNER,"",35.07,-92.47
111,PENINSULA MEDICAL CENTER,BURLINGAME,CA,94010,86.0,62.0,93.0,62.0,61.0,21.0,24.0,57.1,40.0,59.3,21.3,0.53,1.06,94010,Burlingame,CA,SAN MATEO,"",37.567086,-122.367573
